Harbenite,Atium,Eridium,Arsonium,Scrith
1.042872005,0.491327502,0.581442842,-0.321687479,0.63733543
-0.825617601,-0.269695958,-0.423592987,0.984094457,-0.567749792
-2.130286095,1.227418004,-2.431395172,0.397709296,-2.173063977
0.204473543,1.040938154,-0.549251225,-0.210132421,-0.069693171
0.012478198,1.977796647,0.175691179,0.290028934,-0.004305375
-2.627083966,-2.08202363,-2.415737696,-1.176057135,-2.415378451
-0.37694033,-0.441319141,-0.465296937,-1.267008049,-0.554507239
-0.26763563,0.184209421,-0.592000438,0.1847264,-0.625552014
-0.479265592,-0.597080499,-0.865610258,0.684075155,-0.527637961
-1.636170598,-0.5096135,-2.041414092,0.185538073,-2.215210017
-1.074745711,-0.290824671,-0.4423834,0.466134653,-1.071433485
-2.489425911,0.831091129,-2.212863831,-0.675043764,-2.39020933
-2.169602655,-0.209751857,-2.19860684,-1.407798727,-2.439878605
1.679993086,-0.952885947,1.317018423,-0.63678678,1.770187827
1.628848547,0.375969961,1.71393875,-0.462858558,1.428850359
0.414072192,-1.606506171,0.332004423,-1.021447183,0.216461032
2.288915854,2.279292309,2.402580022,1.312633719,2.314069861
-0.682301106,-0.507623077,-0.618574768,0.164886098,-0.913764637
-0.838213851,0.495003929,-0.741024918,-0.726627616,-0.958103875
2.462509517,0.012844438,2.402282262,0.266096723,2.610496487
0.007901377,-0.763098582,0.40250255,0.0756241,0.269157653
0.205634438,-0.684589685,1.170737464,-0.641402298,0.773051864
