Radianite,Horonium,Administratium,Versamina,Afraidium
-0.737431973,-1.287723527,0.371543923,-0.060432116,-1.034070193
0.559286137,-0.108150751,-0.163330658,-0.682844759,1.662030743
-0.01067702,-0.201435322,1.049939685,-1.538477398,-0.167062579
2.72675624,2.5403735,1.493932223,0.009392108,1.353088257
-0.638012459,-0.822455123,-0.949501082,-0.292806815,-0.600857942
1.541627923,1.31108491,-0.004746815,0.923805764,0.417263005
0.882259059,0.666449018,-0.572747997,-1.178957511,-0.501503961
2.065503299,1.835422412,-0.77396114,-0.815088679,-1.76223902
0.791655626,0.894128033,0.165249289,-1.136283565,-0.313335949
1.266250321,1.768432018,-0.897600184,-0.073909396,-0.269205606
0.811313658,0.704244309,-0.422541586,0.378676138,0.855739259
0.41325459,0.627895759,-0.776184783,-0.279923793,-0.348553605
-1.016298849,-0.717246255,-1.263554887,-0.571871163,0.764128319
-0.53102483,-0.823359593,0.203950203,1.988835565,0.455748343
-0.740917325,-1.310388884,0.416741753,0.566979896,0.972598505
1.316608853,1.407496578,-0.863237859,-0.68473939,0.24008434
-1.185912364,-1.513321956,-1.397316683,-0.017954983,0.230328982
-0.753969273,-0.596887533,-0.222096693,0.423650673,0.890820327
-0.68888926,-0.520930092,-0.626924977,0.907681425,-2.300176669
0.383838512,0.375206825,-0.067840571,0.294440544,0.020706944
-0.775086193,-0.968903094,1.147501551,1.752128446,-0.688693853
-0.622690605,-0.203993099,-0.551070536,-0.693826465,-0.791459183
0.645134357,0.950901234,-0.976062181,-0.609274722,-0.94840707
-0.324601639,-0.204209503,-0.109311751,0.00722902,-0.912504334
1.048934064,0.922570327,-0.413802112,0.423087609,2.218512045
-0.809889051,-1.058039341,0.674623721,-1.025362558,-0.662230996
1.618541755,0.851268588,-1.576400986,0.560634949,1.316576982
0.021615017,0.112001802,1.196466471,-0.257077148,-0.020125903
-0.993047223,-0.584482788,-0.864784748,-0.016793943,-1.340422131
0.612340558,0.424539323,-0.718058172,-1.840749338,0.492385415
-0.528263145,-0.326823029,2.227107594,-1.724468557,0.901162582
-1.551714578,-1.753303582,1.186183338,-1.100394557,0.977448526
1.21347236,1.112153934,-0.137831205,0.201569869,-0.525447897
0.14774309,-0.277168103,-0.230725865,-2.024289236,0.199777614
-0.341989647,-0.076373702,-1.377254169,1.582104824,-0.226305948
-0.627277362,-0.28022935,1.388440026,0.044865471,-1.38093383
-0.549434124,-0.345077817,0.310548185,0.0277732,0.825350227
0.609440837,0.544136037,-1.52851707,-0.03061289,0.880486972
-0.149209217,-0.315114784,-0.06870223,1.140417284,0.36108807
-0.467102085,-0.484858436,1.732576015,-0.151330652,0.356924065
0.379125298,0.882735629,0.022815327,-0.751954036,0.964508652
-0.158933267,-0.43988726,-1.571070579,-0.89549585,1.908559468
1.039787606,0.892472373,-0.646739146,1.397061389,0.642042773
0.32177173,0.348656186,-0.397244805,0.713161135,0.669600188
-1.235816028,-1.555364603,0.212521879,-1.12539893,-0.183290726
-0.260470756,0.320280613,0.660218842,-0.00319232,0.592364281
-0.144340872,0.179480096,-1.877045748,-0.055408975,0.463638028
0.868046707,0.532535876,0.15364937,-0.342011364,1.264814672
0.300012543,0.403406708,0.558202125,0.1027379,-0.172918617
-0.890918092,-1.087273267,-0.872649853,-0.392811133,1.633661854
-1.24215087,-1.150272477,-1.002533753,-0.651869907,-1.023880501
-0.488180204,-0.327493926,-0.594314433,-0.693616992,0.367510894
1.093382729,1.938739362,0.437252738,-1.447154409,-1.676059623
-1.120075758,-1.032248719,-1.819401252,0.009315126,0.132144518
0.617687455,0.952998362,-0.147865184,1.349119106,-0.09104805
0.279644534,0.153343456,-0.254157605,-0.121114332,-0.194529764
-0.394096701,-0.091555464,1.253761671,0.6944815,-0.821243348
