Silverstone,Ceratanium,Taydenite,Divinium (E115),Dark Metal
0.340141078,-0.720429371,1.876694767,0.100087732,-0.294698584
-1.23403222,-0.713380748,-0.656244517,-1.318882864,1.395265947
1.353664362,0.655382951,-0.934173492,0.776930627,-0.801511675
0.288645584,-0.611783037,0.11769474,0.541352893,0.018568667
1.193195191,-0.715004113,-0.444583385,0.976895189,1.07748085
0.158828152,-0.664095768,-0.383820132,-0.064240506,-0.086375286
-0.295909849,0.840188425,1.226482854,-0.614197415,0.192102943
1.984248466,1.804988468,0.446557008,1.610592376,-0.448906605
0.320655691,-0.671772968,-0.506426804,0.469706939,-1.04665081
-0.933037925,0.745428615,1.176413849,-1.391176306,0.507800439
1.016107895,0.743705443,-1.334688939,0.985307182,0.600452024
0.114672235,-1.460601141,0.164851842,0.051536568,1.059933777
-0.530711884,-2.800370555,-1.844121239,-1.152202028,0.004954231
-0.016016093,1.514567595,0.783215211,0.270145359,0.005299922
-0.426863771,1.157690415,-0.435324005,-0.644689195,-1.034506969
0.191687987,-0.651956439,-0.744131112,-0.036755175,1.239074626
1.052898446,-1.015681705,-0.337467757,1.171759473,0.70801746
0.694677724,-0.533718976,-1.314945039,0.725414249,-0.456443633
1.045795628,-0.754505407,0.00891518,1.268291032,0.617237114
0.275523912,-2.19749729,0.696296846,0.08196107,0.17495794
-0.353428286,0.18139264,0.784991422,-0.278273477,-0.535357471
-1.327357688,0.39331191,-0.263762431,-0.921747133,-1.1682017
-0.735483752,-0.167807299,-0.12784444,-0.63957456,-0.973176766
1.126833723,-0.735718561,-0.468425717,1.509789249,0.068997228
-0.438491068,1.304566686,1.158948106,0.011181297,-0.152588425
-0.507211666,-0.691960258,0.47788954,-0.824245779,-0.730823714
0.362634747,-0.173089876,-0.154456582,0.015485973,-1.083109585
0.965168092,-0.637169326,-1.746190135,0.898399618,-0.82414104
1.154583646,-1.795421001,-0.477177334,0.638175255,-0.166290349
-1.09209525,0.565441834,-1.909168992,-0.492431938,0.458769651
0.761353345,1.694564542,-0.617869828,0.883654221,-0.275107458
-0.853097672,0.563372444,-1.406207996,-0.710982264,-1.286274534
-1.004191332,0.427039656,0.526869587,-1.442245033,-0.531604336
0.579437964,-0.533938922,0.741415195,0.626523424,1.312339227
-1.054797767,1.076870356,0.280975567,-0.906294091,1.8058816
0.847272926,-0.994697974,-0.609386837,0.266119955,-0.056326952
