Arenak,Duranium,Jerktonium,Gaulau,Runite
-0.550517402,-0.710519752,-0.69260944,0.707615839,-0.320120638
1.48401882,1.674340423,1.534221805,-0.323039875,-0.297677661
-0.014818096,0.474182671,-0.22659382,2.165343237,-1.363227622
-1.215335964,-1.809234439,-1.190712777,-1.232125689,-0.701485178
-0.105185438,-0.068331031,-0.229963279,1.904005151,0.602104647
1.564663196,1.281299834,1.135944019,0.046216414,0.78435349
-0.298755446,-0.048696547,-0.231012949,1.001948089,-0.387869584
-1.196123591,-1.181097459,-1.15300241,0.443551546,1.200361917
0.991832049,0.742221041,0.868367163,0.124356142,0.901873471
-0.110309828,-0.437201608,-0.419603039,1.283057502,1.07145632
0.411145559,0.206123169,0.343843207,0.51813204,-1.684443378
-0.607662307,-0.070734837,-0.454404893,-0.534651204,0.123787528
-1.356264309,-1.800620729,-1.735504827,0.017815398,-1.489711595
-0.15781822,-0.367541684,-0.460184023,0.17958227,1.189811741
0.086384284,-0.414271987,0.12982686,-1.00742809,0.473657944
0.734083271,0.471710999,0.40574998,-1.240316244,0.295619078
-0.747805233,-0.289987299,-0.421948122,0.798050875,-0.190725125
-1.51171328,-2.15044731,-1.789011261,-0.199462936,-0.651338385
0.063882492,0.425232961,0.718682115,-0.832378511,0.778601401
-2.328491081,-2.360020306,-2.545275283,-0.791417412,-0.016160693
-0.159766433,-0.470132991,-0.485792341,-0.02272873,1.994201076
1.186620909,1.402818716,0.887650022,0.79948563,0.225512685
0.674753435,0.421127478,0.154056395,-0.59977854,0.066645057
-2.330804893,-2.045533965,-2.632726094,0.062996754,-1.803062069
-0.464341892,-0.776843881,-0.53093724,-0.048163438,0.170679697
0.539437791,0.456295494,0.402948631,0.909652647,-0.365856436
0.177088788,-0.018039943,0.350179154,0.052477091,-0.928988891
-0.900093866,-0.454312058,-0.888703469,-0.285843586,-0.45921554
-0.745355052,-0.20706165,-0.089993548,0.247665781,-0.057042054
0.28496798,0.425999501,0.513716377,-0.770512972,0.002815803
0.128485484,0.049428132,-0.084799319,-1.340809665,-0.282671195
-1.139471313,-0.187593677,-0.821343357,0.372587094,1.588946042
0.039207993,-0.038448924,0.222724393,-0.857244815,1.129193372
0.281954323,0.368069402,0.528206567,-0.127935125,-2.412473051
0.104009379,0.183877357,0.172865743,-0.209672634,-0.527226135
0.407165172,0.148377256,0.294741287,1.770571467,0.345535626
0.719454923,0.737824733,1.188642771,1.503302357,1.299951818
-1.045393998,0.147745457,-0.608649815,-1.300135025,0.981703578
0.804593742,1.186020788,1.491366704,-0.192561311,-1.636063036
0.456901614,0.613579683,0.3838285,0.098155775,-0.208155825
-1.002688219,-1.08311546,-0.864444697,-1.450388682,0.080121978
1.154339088,1.443171067,1.313675595,-0.708558519,1.060875613
0.082966809,0.284621506,0.427653255,2.439746439,0.445734345
0.798664768,0.78552748,0.65437686,0.833736152,-0.792113345
-1.289776355,-0.809439895,-1.319726369,-1.350344599,1.192978225
-1.017725178,-0.837289167,-1.125731125,-0.250759694,-0.164034983
-1.389078363,-1.384127462,-1.595019773,0.475894584,-0.416364695
-1.50325945,-0.45204993,-0.928886186,-0.202367434,0.195971639
-1.363339619,-1.025175928,-1.120566439,-0.908883033,-2.216547822
0.010697459,0.201797769,-0.120843787,1.357419668,1.342317821
-1.115038613,-1.159835295,-1.340865584,0.45179044,0.0519862
-0.810712552,-0.73831544,-0.512385008,0.596564581,0.246192872
0.297806169,0.32907096,0.417355334,-1.283045848,-0.835923181
-2.173455432,-2.345292729,-2.634017704,0.404716129,-0.55346006
1.35378592,1.433523032,1.320972577,1.084213719,1.699186695
0.413982024,0.81535202,0.530105532,-0.973508745,-1.00170085
